timestamp,open,high,low,close,volume,MACD,Signal Line
2023-12-21,488.11,490.95,484.19,489.9,30042535,-44.19600071720845,-49.51403686441374
2023-12-20,496.55,499.99,480.98,481.11,39789439,-42.732805269873666,-48.157790545505726
2023-12-19,494.24,497.0,488.95,496.04,46313248,-39.908446383558726,-46.50792171311633
2023-12-18,494.0,504.3299,491.5,500.77,41258717,-36.863510545180134,-44.579039479529094
2023-12-15,481.94,494.04,481.2,488.9,47994758,-35.00467465419774,-42.66416651446283
2023-12-14,483.9,486.7,474.22,483.5,39123174,-33.5801773076538,-40.84736867310102
2023-12-13,476.29,485.94,476.08,480.88,44779186,-32.290440898735824,-39.13598311822798
2023-12-12,460.46,476.66,460.46,476.57,37238686,-31.25579908663508,-37.55994631190941
2023-12-11,474.91,475.31,458.3,466.27,50972809,-30.91064326135222,-36.23008570179797
2023-12-08,465.95,477.4085,465.5,475.06,35922370,-29.586767406656577,-34.901422042769696
2023-12-07,457.0,466.29,456.04,465.96,35082255,-28.93829752156273,-33.708797138528304
2023-12-06,472.145,473.87,454.12,455.03,36778599,-28.972364733850327,-32.76151065759271
2023-12-05,454.66,466.0,452.71,465.66,37171762,-27.820908963034583,-31.773390318681084
2023-12-04,460.77,460.77,450.1,455.1,43754344,-27.444117017660062,-30.90753565847688
2023-12-01,465.25,472.0,461.87,467.65,36931701,-25.835016581624075,-29.89303184310632
2023-11-30,480.24,481.1,464.22,467.7,52624663,-24.275920609440618,-28.76960959637318
2023-11-29,483.79,487.62,478.6,481.4,38200465,-21.684880510328924,-27.35266377916433
2023-11-28,482.36,483.229,474.73,478.21,40149085,-19.66221512771625,-25.814574048874718
2023-11-27,478.0,485.3,476.52,482.42,39566190,-17.517594498857704,-24.155178138871317
2023-11-24,484.7001,489.21,477.45,477.76,29464464,-16.009443356602617,-22.52603118241758
2023-11-22,498.52,503.3494,476.9,487.16,90064233,-13.895542110031272,-20.79993336794032
2023-11-21,501.26,505.17,492.22,499.44,56574687,-11.101396778842513,-18.86022605012076
2023-11-20,493.12,505.48,491.8101,504.09,41614260,-8.414799761200698,-16.77114079233675
2023-11-17,495.24,497.17,490.07,492.98,32589691,-7.100288710214102,-14.836970375912221
2023-11-16,486.79,495.2469,483.3,494.8,33975624,-5.844300978413003,-13.038436496412379
2023-11-15,499.35,499.6,482.0,488.88,47549735,-5.265913997903112,-11.483931996710526
2023-11-14,496.8,498.34,490.4001,496.56,41695387,-4.140101816615925,-10.015165960691606
2023-11-13,483.2,491.16,480.9901,486.2,38413570,-4.037313334791293,-8.819595435511543
2023-11-10,475.0,484.72,472.8301,483.35,42244156,-4.138122207039373,-7.88330078981711
2023-11-09,474.67,482.3,467.5,469.5,54049597,-5.274788734218987,-7.361598378697486
2023-11-08,461.0,468.67,459.68,465.74,34671894,-6.40517089956802,-7.170312882871593
2023-11-07,457.19,462.18,451.575,459.55,34316547,-7.711593725416208,-7.278569051380517
2023-11-06,452.845,459.35,448.99,457.51,40073335,-8.809998005207035,-7.584854842145821
2023-11-03,440.2,453.0899,437.23,450.05,42460959,-10.165272036322847,-8.100938280981225
2023-11-02,433.28,438.84,428.94,435.06,40917187,-12.307036339489684,-8.942157892682918
2023-11-01,408.84,423.81,408.69,423.25,43759290,-14.786913940666125,-10.11110910227956
2023-10-31,404.5,408.79,392.3001,407.8,51796870,-17.793804779870868,-11.647648237797823
2023-10-30,410.87,417.66,404.81,411.61,38802814,-19.642920909961504,-13.24670277223056
2023-10-27,411.3,412.06,400.15,405.0,41678441,-21.395101115474517,-14.876382440879352
2023-10-26,418.53,422.5555,398.8019,403.26,54100132,-22.662876477452244,-16.43368124819393
2023-10-25,433.98,436.5,415.55,417.79,39837922,-22.23879305475731,-17.59470360950661
2023-10-24,430.77,436.97,426.91,436.63,40146337,-20.150194440910695,-18.105801775787427
2023-10-23,412.29,432.4799,409.45,429.75,47853049,-18.833028068912256,-18.251247034412394
2023-10-20,418.9,424.7,410.78,413.87,47726605,-18.85321933792875,-18.371641495115664
2023-10-19,428.11,432.97,418.82,421.01,50123308,-18.084614556241604,-18.314236107340854
2023-10-18,425.91,432.19,418.25,421.96,62729434,-17.200555373367195,-18.091499960546123
2023-10-17,440.0,447.54,424.8,439.38,81233267,-14.92226905774345,-17.45765377998559
2023-10-16,450.63,462.25,449.12,460.95,37509924,-11.246548792707813,-16.215432782530037
2023-10-13,469.6,471.16,452.8,454.61,47542599,-8.744300165768664,-14.721206259177762
2023-10-12,467.77,476.09,463.3,469.45,48132500,-5.500381154169418,-12.877041238176094
2023-10-11,461.96,468.59,460.5,468.06,37813689,-3.007049949592556,-10.903042980459388
2023-10-10,453.1,462.59,450.88,457.98,36858208,-1.8234195192307538,-9.087118288213661
2023-10-09,448.42,456.05,443.68,452.73,40967472,-1.2940974496398212,-7.528514120498893
2023-10-06,441.93,457.89,440.26,457.62,43443602,-0.4745534070868871,-6.117721977816492
2023-10-05,440.5,449.0,438.88,446.88,39348309,-0.68380461697177,-5.030938505647548
2023-10-04,437.42,441.43,432.9201,440.41,36182086,-1.3560805834972598,-4.29596692121749
2023-10-03,448.08,451.3,432.46,435.17,47084954,-2.285344311305039,-3.893842399235
2023-10-02,440.3,451.75,438.61,447.82,43329821,-1.9782393195726513,-3.5107217833025306
2023-09-29,438.27,441.44,433.0694,434.99,39782993,-2.738561741211697,-3.356289774884364
2023-09-28,424.6,434.4631,421.15,430.89,42466279,-3.630112792453531,-3.4110543783981977
2023-09-27,423.3,428.72,416.2901,424.68,44493520,-4.782637259466924,-3.685370954611943
2023-09-26,420.01,428.2,416.55,419.11,40228209,-6.075439764853854,-4.1633847166603255
2023-09-25,415.91,425.36,411.77,422.22,41909096,-6.770992271754153,-4.684906227679091
